property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat, Ashish,1.19,2,2,3,Relatively New,1630,0,0,0,Low,Mid Floor
flat, Avanya,0.5,3,2,2,Relatively New,850,0,0,0,Low,Mid Floor
flat, Ambrosia,1.4,3,2,2,Under Construction,1120,0,0,0,Low,Mid Floor
flat, Amarnath Towers,1,2,2,3,Relatively New,1611,0,0,0,Medium,Mid Floor
flat," Lodha Allura, Worli",1.3,3,3,3+,Relatively New,1509,0,0,0,Low,Mid Floor
flat, Lodha Bellagio Delhi,0.9,3,3,2,Relatively New,1402,0,0,0,Medium,High Floor
house, Adani The Views Delhi,0.5,2,2,0,Moderately Old,100,0,0,0,Low,Low Floor
flat, Ashish,1.15,3,3,2,Relatively New,1350,1,1,1,High,Mid Floor
flat, Arihant Anmol Phase II,1.36,3,3,2,Relatively New,1428,0,0,1,Low,High Floor
flat, Piramal Mahalaxmi,1.4,2,2,3,Relatively New,1286,0,0,0,Medium,Low Floor
house, Ajita Complex,2.8,4,4,0,Old Property,1500,0,0,0,Low,Low Floor
house, Amidhara,10.45,5,7,3+,Moderately Old,3240,1,0,1,High,Mid Floor
flat, Apna Ghar,0.34,2,2,1,Relatively New,537,0,1,1,Medium,Low Floor
flat, Apna Ghar,0.39,2,2,0,Relatively New,549,0,0,0,Low,Mid Floor
house, Ajmera Treon,1.1,3,4,1,Moderately Old,990,0,0,0,Low,Low Floor
flat," Lodha Allura, Worli",0.35,2,2,2,New Property,521,0,0,0,Low,High Floor
flat, Agarwal Agarwal Exotica,1.75,4,3,3+,Relatively New,2107,1,1,0,Medium,Mid Floor
flat, Arkade Earth,2.1,3,3,3,Moderately Old,1604.25,0,0,1,Medium,Mid Floor
flat, ANA Avant Garde Phase 1,3.65,3,3,3+,Relatively New,2395,0,0,1,High,Mid Floor
flat," Lodha Allura, Worli",0.95,2,2,3+,New Property,1175.97,0,0,0,Medium,Mid Floor
flat, Arihant Anmol Phase II,1.29,3,3,1,Relatively New,1419,0,0,1,Medium,High Floor
house, Agarwal Lifestyle,0.75,2,2,2,New Property,745,0,0,0,Low,High Floor
flat, Ahuja Tower,1.85,3,3,3+,Relatively New,1668,0,0,1,Low,Low Floor
flat, A Surti Universal Cubical,0.7,2,2,2,Moderately Old,1224,0,0,0,Low,Mid Floor
flat, Aristocrat Jai Savitri CHSL,0.32,2,2,1,Relatively New,610,0,0,1,Medium,Mid Floor
flat, Ajmera Vishwa Nagri Building No 3 And 4,0.85,3,3,2,Moderately Old,2556,0,0,0,Low,Low Floor
flat, Ajmera Zeon,1.25,4,4,3,Relatively New,2105,0,0,0,Low,High Floor
flat, Arihant Aloki Phase 1,0.54,2,2,1,Relatively New,1000,0,0,0,Medium,Mid Floor
flat, Agarwal Doshi Complex,0.79,2,2,2,Relatively New,1084,0,0,0,Low,Mid Floor
house, Ashiana Prem Aangan,10,5,5,3+,Moderately Old,9500,1,0,2,Low,Mid Floor
flat, Ankurdev Danvijay CHSL,1.71,3,3,3+,Moderately Old,2251,1,0,1,Medium,Mid Floor
flat, ACME Oasis,1.4,3,3,3,Relatively New,1550,0,0,1,Medium,Mid Floor
flat, Adityaraj Saphalya,3.65,3,4,3+,Relatively New,2490,1,0,1,Medium,High Floor
flat, Avanya,0.6,3,2,2,Relatively New,750,0,0,0,Medium,Mid Floor
flat, Arihant Anmol Phase II,1.44,3,3,2,Relatively New,1381,0,0,0,High,Low Floor
flat, Ashar Sapphire,2.37,4,4,3+,Under Construction,2060,0,0,0,Medium,High Floor
flat, Ambrosia,0.2,1,2,2,New Property,334,0,0,0,Medium,Mid Floor
flat, Agami Emerald,1.5,2,2,3+,Under Construction,1539,0,0,0,Medium,Low Floor
flat, Ashar Sapphire,1.83,2,2,0,New Property,1310,0,0,0,Medium,Mid Floor
house, Ajmera Treon,3.2,3,3,2,Old Property,2250,0,0,0,Low,Low Floor
flat, Amarnath Towers,0.5,3,2,2,Under Construction,663,0,0,0,Low,Low Floor
flat, Ashish Samriddhi,3.4,4,4,3,Old Property,2900,0,0,0,Low,Low Floor
flat, Piramal Mahalaxmi,4.55,4,4,3+,Relatively New,4630,0,0,1,Medium,High Floor
flat, Arkade Earth,1.72,3,3,2,Old Property,2444,0,0,1,Medium,Low Floor
flat, Ashar Edge,2.2,3,3,2,Under Construction,1778,0,0,0,Low,Low Floor
flat, Adinath Saanvi Heights,0.63,2,2,3+,Relatively New,1026,0,0,0,Medium,Low Floor
flat, Anora Residency,1.4,3,3,3+,Relatively New,1890,1,0,0,Medium,Mid Floor
flat, Ashford Royale,1.13,3,3,2,Under Construction,1457,0,0,0,Low,Low Floor
house, Ambrosia,1.95,3,5,3+,Moderately Old,920,0,0,0,Medium,Low Floor
flat, Ashford Royale,1.75,3,5,0,Relatively New,1950,0,0,0,Low,Low Floor
flat, ACME Ozone Phase 2,2.45,4,4,3,Relatively New,2602,1,1,0,Low,High Floor
house, Adinath Saanvi Heights,4.7,3,3,3+,New Property,2160,1,0,0,Low,Mid Floor
house, Hiranandani Garden Powai,0.7,2,2,0,Old Property,864,0,0,0,Low,Low Floor
flat," Ahuja Towers, Prabhadevi",1.3,3,3,2,New Property,1179,0,0,0,Low,Low Floor
house, Raymond Tenx Habitat Delhi,6.5,4,4,3+,New Property,5400,1,0,1,High,Low Floor
flat, Arsiwala Essar Apex,0.55,2,2,3,New Property,543,0,0,0,Medium,Mid Floor
flat," Lodha Allura, Worli",0.9,3,2,2,Under Construction,1014,0,0,0,Medium,Low Floor
flat, Avanya,1.15,2,2,3,Relatively New,1281,0,0,0,Low,Low Floor
flat, Alfa Mana A M Residency,3.5,3,4,3,Relatively New,2150,1,0,0,Medium,Mid Floor
flat, Ashwamedh Atlantis,1.78,4,4,3+,Relatively New,2000,0,0,0,Medium,Mid Floor
flat, Atlanta CHS,2.5,3,2,3,Old Property,1674,0,0,0,Low,Mid Floor
house, AV Sundaram Plaza,3.9,6,6,3+,Moderately Old,1836,1,0,0,Low,Mid Floor
house, Amara,0.55,2,2,1,Moderately Old,810,0,0,0,Low,Low Floor
flat, Arsiwala Essar Apex,1.67,4,4,3,Relatively New,2091,0,0,1,Medium,High Floor
flat, Ashwamedh Atlantis,0.65,2,2,3,Relatively New,1050,0,0,0,Medium,Mid Floor
flat, Godrej Horizon Delhi,5.5,3,4,3,Relatively New,2803,1,0,0,Low,Mid Floor
flat, Ashwamedh Atlantis,2.05,4,4,3+,Relatively New,2005,0,0,1,Low,Mid Floor
house, Amal Aspen Garden,2.25,6,3,3+,Relatively New,900,0,0,0,Medium,Mid Floor
house, Agami Emerald,11,5,6,3,New Property,4125,1,0,0,Medium,Mid Floor
flat, Piramal Mahalaxmi,1.41,2,2,3,Relatively New,1238,0,0,0,Low,Low Floor
flat, Arihant Residency,1.65,3,3,0,Relatively New,1815,0,0,0,Low,High Floor
flat, Ashish,0.98,2,2,3,Relatively New,1300,0,0,1,Medium,Mid Floor
flat, Ajmera Redwood Building,2.2,3,4,3+,Old Property,1956,0,0,0,Low,Mid Floor
flat, Arkade Earth Hazel,1.5,3,3,1,Relatively New,1550,0,0,0,High,High Floor
house, ACME Ozone Phase 2,4.35,4,4,3+,Relatively New,3222,1,1,1,Medium,Low Floor
flat, Arihant Anmol Phase II,1.3,3,3,1,Relatively New,1419,0,0,0,Medium,High Floor
flat, Agarwal Doshi Complex,1.1,3,4,3,Moderately Old,1631,1,0,0,Low,Mid Floor
flat, Ahuja Tower,1.59,3,3,3+,Relatively New,1668,0,0,2,High,Mid Floor
flat, Amarnath Towers,1.65,3,3,3,New Property,1652,0,0,0,Medium,High Floor
flat, Aadi Allure Wings A To E,2.28,3,3,3+,Relatively New,1750,1,0,2,Low,High Floor
flat, Ashwamedh Atlantis,1.6,4,4,3+,Relatively New,2139,1,0,0,Medium,Mid Floor
flat, Ashwamedh Atlantis,1.21,3,3,3+,Relatively New,1581,0,0,0,Medium,High Floor
flat, Ashwamedh Atlantis,1.25,3,3,3,Moderately Old,1437,1,0,0,Medium,High Floor
flat, Acropolis,0.98,2,2,3,Moderately Old,1281,0,0,0,Medium,High Floor
flat, Shapoorji Pallonji Skyraa,0.93,2,3,3,Relatively New,1161,0,0,0,Medium,Mid Floor
flat, Ashar Edge,2.24,3,3,2,New Property,1402,0,0,0,Medium,Mid Floor
flat, Ankurdev Danvijay CHSL,1.55,3,3,3,Old Property,1810,1,0,1,Medium,Mid Floor
flat, Arihant Residency,0.78,2,2,3+,Relatively New,1172,0,0,0,Low,High Floor
flat, Ashar Sapphire,1.93,3,3,2,Under Construction,1429,0,0,0,Medium,Mid Floor
flat, Ambrosia,2.6,4,4,3+,Relatively New,3064,1,0,1,High,High Floor
house, Adhiraj Zinnia,7.46,4,4,3+,Relatively New,6350,1,0,1,Medium,Low Floor
flat, Aakash Nidhi,4.8,4,6,3+,New Property,2778,1,0,2,Low,Mid Floor
flat, Shapoorji Pallonji Skyraa,0.97,2,2,3,Relatively New,1167,1,0,0,High,Mid Floor
flat, Piramal Mahalaxmi,0.97,2,2,2,Relatively New,828,0,0,0,Medium,High Floor
flat," Sheth Beau Pride, Bandra",1.7,3,4,2,Under Construction,1475,0,0,0,Medium,Low Floor
house, Prestige Jasdan Classic,6.75,3,3,3,Moderately Old,2430,0,0,0,Low,Low Floor
flat, Ashwamedh Atlantis,1.2,3,3,3+,Moderately Old,2144,1,0,0,Medium,Mid Floor
flat, Ashford Royale,1.65,3,5,3,Relatively New,1527,1,0,0,High,Mid Floor
house, Ashoka Swaroop Residency,1.5,2,7,3,Moderately Old,1300,0,0,0,Low,Mid Floor
flat, Apna Ghar,0.69,2,2,3+,Relatively New,1222,0,0,0,Medium,Mid Floor
flat, Lodha Bellagio Delhi,1.2,2,2,3,Relatively New,1660,0,0,0,Low,High Floor
flat," Sheth Beau Pride, Bandra",0.75,3,4,3,Moderately Old,1778,0,0,0,Medium,Low Floor
flat, Arkade Earth,1.69,3,3,3,Moderately Old,2178,0,0,0,Medium,Mid Floor
flat, Adityaraj Saphalya,4.5,4,4,3+,Relatively New,3160,1,0,1,Low,Low Floor
house, Agami Emerald,8.5,5,5,3+,New Property,4770,1,1,1,Medium,Mid Floor
flat, Avanya,0.4,2,2,1,Relatively New,577,0,0,1,Medium,Mid Floor
flat, Ajmera Vishwa Nagri Building No 3 And 4,0.9,4,4,3,Moderately Old,2233,0,0,0,Low,Mid Floor
flat, Arkade Earth Wing Ebony,5,5,7,3+,Moderately Old,5778,1,0,0,Medium,Low Floor
flat, Agarwal Lifestyle,1.9,3,3,2,Under Construction,1513,0,0,0,Medium,Low Floor
flat, Apna Ghar,1.24,3,3,3,Relatively New,1650,0,0,1,High,Mid Floor
flat, Agami Emerald,1.4,3,3,3,Under Construction,588,0,0,0,Medium,Low Floor
flat, Aristocrat Jai Savitri CHSL,0.46,2,2,2,New Property,809,0,0,0,Medium,High Floor
flat," Planet Godrej, Mahalaxmi",1.38,2,2,2,Under Construction,1130,0,0,1,Medium,Mid Floor
flat, Piramal Mahalaxmi,1.82,3,4,3+,Moderately Old,1757,1,0,0,Medium,High Floor
flat," Lodha Allura, Worli",0.4,2,2,3,New Property,661,0,0,0,Low,High Floor
flat, Ajmera Vishwa Nagri Building No 3 And 4,0.86,3,3,3+,Moderately Old,1900,1,0,0,Medium,Mid Floor
flat, Ashford Royale,1.65,3,3,2,Relatively New,2167,0,0,0,Medium,Mid Floor
flat, A Kumar Vastu Pinnacle,3.78,3,3,3,Under Construction,2550,0,0,0,Low,Mid Floor
flat, Piramal Mahalaxmi,1.42,3,3,3,Relatively New,1315,1,0,0,Medium,Mid Floor
flat, Raymond Tenx Habitat Delhi,1.4,3,3,3+,Relatively New,1466,0,1,0,Medium,Mid Floor
flat, Aristocrat Jai Savitri CHSL,0.27,2,2,0,New Property,758,0,0,0,Low,Low Floor
flat, Arkade Earth Hazel,0.42,2,2,1,New Property,557,1,0,0,Medium,Low Floor
flat, Anmol Apartment,0.26,2,2,1,Relatively New,611,0,0,0,Medium,Mid Floor
flat, Aristocrat Jai Savitri CHSL,0.4,3,2,2,New Property,761,0,0,0,Low,Mid Floor
flat, Ankurdev Danvijay CHSL,2.05,4,4,3,Relatively New,2000,1,0,1,Low,Mid Floor
flat," Sheth Beau Pride, Bandra",0.87,4,4,2,Moderately Old,1584,0,1,2,Medium,Low Floor
flat, Arkade Earth Hazel,1.65,3,4,3,Relatively New,1715,1,0,0,Medium,Mid Floor
house, Mahindra Happinest Kalyan,0.42,3,3,0,New Property,567,0,0,0,Low,Low Floor
flat, Godrej Horizon Delhi,2.75,4,4,3,Relatively New,1975,1,0,1,Medium,Mid Floor
flat, Adani Estates Western Heights Phase 1 Residential,0.88,3,3,2,Old Property,1438,0,0,1,Low,Low Floor
flat, Agarwal Agarwal Exotica,1.4,3,3,3+,Relatively New,1700,0,0,0,Medium,Mid Floor
flat, Godrej Horizon Delhi,5.9,3,3,3,Moderately Old,3043,0,0,2,Low,Mid Floor
flat, Aadi Allure Wings A To E,0.82,2,2,3,Relatively New,955,0,0,0,Medium,Low Floor
flat, Aadi Allure Wings A To E,3.3,4,5,3+,Relatively New,3070,1,0,1,High,Mid Floor
flat," Sheth Beau Pride, Bandra",0.5,3,3,1,New Property,711,0,0,2,Medium,High Floor
flat, Arihant Anmol Phase II,1.8,4,5,3+,Relatively New,2200,1,0,0,High,Mid Floor
flat, Annapurna Kasturi Heights,4.85,4,5,3,Relatively New,3182,1,0,1,Low,High Floor
flat, Atlanta Enclave,1.79,3,3,3,New Property,1600,1,0,1,Low,Low Floor
flat, Anmol Apartment,1.13,3,5,3,Relatively New,1790,1,0,0,Low,Mid Floor
flat, Aadi Allure Wings A To E,2.29,3,4,3+,Relatively New,1900,1,0,2,Medium,High Floor
flat," Lodha Allura, Worli",0.26,1,1,1,New Property,438,0,0,0,Low,Mid Floor
flat, Aristocrat Jai Savitri CHSL,0.29,2,2,2,Relatively New,507,0,0,0,Medium,High Floor
house, Ashtha Heights,1.85,4,3,2,Moderately Old,1284,0,0,0,Low,Mid Floor
flat, Acropolis,0.95,2,2,3,Old Property,1573,0,0,1,Medium,Mid Floor
flat, Raymond Tenx Habitat Delhi,1.5,3,3,1,New Property,2519,1,0,0,Low,Mid Floor
flat, ACME Oasis,4,4,4,3,New Property,3350,0,0,0,Medium,High Floor
flat," Lodha Allura, Worli",0.45,2,2,2,Relatively New,789,0,0,2,Low,Mid Floor
flat, Ahuja Tower,0.62,1,1,0,Relatively New,650,0,0,0,Low,Mid Floor
flat, Ashwamedh Atlantis,1.15,3,3,3+,Relatively New,1747,1,0,0,Medium,Mid Floor
flat, Ashish,1.4,3,3,2,Relatively New,1570,0,0,1,Medium,Mid Floor
house, Apsara Heritage,3.15,5,4,3+,Moderately Old,1548,0,1,1,Medium,Low Floor
flat, Agarwal Doshi Complex,0.98,3,3,3,Moderately Old,1466,0,0,0,Medium,Low Floor
flat, Piramal Mahalaxmi,1.75,3,3,3+,Relatively New,1465,0,0,0,Low,Low Floor
flat, Godrej Horizon Delhi,5,3,3,3,Relatively New,3245,1,0,1,High,Low Floor
flat, Godrej Horizon Delhi,2.55,3,3,3,Relatively New,1650,1,0,0,Low,Mid Floor
flat, Agami Emerald,1.65,3,3,3,Under Construction,2218,1,0,0,Low,Low Floor
flat, Amardeep Anutham,2.1,4,6,3+,Relatively New,2131,1,0,0,Medium,Mid Floor
flat, Adani Estates Western Heights Phase 1 Residential,0.95,3,3,2,Moderately Old,1403,0,0,0,Low,Mid Floor
flat, Raymond Tenx Habitat Delhi,2.2,3,4,3,Relatively New,1860,1,0,0,High,High Floor
flat, ANA Avant Garde Phase 1,1.38,3,3,1,Relatively New,1611,0,0,0,Medium,Low Floor
house, Ashiana Prem Aangan,15,5,5,3,Moderately Old,6400,1,0,1,Medium,Low Floor
flat, Adani The Views Delhi,0.42,3,2,1,Moderately Old,833,0,0,0,Low,Low Floor
flat, Ashar Edge,2.55,3,3,2,New Property,1630,0,0,0,Low,Mid Floor
flat, Raymond Tenx Habitat Delhi,2.3,3,4,3+,New Property,2339,1,0,0,Medium,Mid Floor
flat, Godrej Horizon Delhi,3.2,4,3,2,Relatively New,3150,1,0,0,Low,Low Floor
house, Arkade Earth,3.75,2,6,3,Moderately Old,1467,0,0,0,Low,Mid Floor
flat, Ashar Sapphire,2.75,4,4,3+,Under Construction,2886,1,0,2,Medium,High Floor
flat, Agami Emerald,2,3,3,3+,New Property,1619,0,0,0,Low,Mid Floor
flat, Ahuja Tower,1.85,3,3,3,Moderately Old,1677,0,0,0,Low,High Floor
flat, Aayush Poornima,1.3,3,3,2,Under Construction,1267,0,0,0,Low,Mid Floor
flat, Ashwamedh Atlantis,1.23,3,3,2,Relatively New,1578,0,0,0,Low,High Floor
flat, Godrej Horizon Delhi,2.65,2,2,3,New Property,1433,0,0,0,Low,Mid Floor
house, Adani Estates Western Heights Phase 1 Residential,1.65,2,3,0,Old Property,900,0,0,0,Low,Mid Floor
flat, Atlanta CHS,3.8,3,3,3+,Moderately Old,2450,1,0,1,Medium,Low Floor
flat, Godrej Horizon Delhi,2.85,4,4,3+,Relatively New,1975,1,0,1,High,Low Floor
flat, Aquarius Taurus Apartments,7.8,4,4,0,New Property,3950,0,0,0,Medium,Mid Floor
flat, Acropolis,1.5,3,4,3+,Moderately Old,1738,1,0,0,Medium,Mid Floor
house, Agarwal Lifestyle,1.75,4,4,0,New Property,3111,0,0,0,Low,High Floor
flat, Ashar Edge,2.17,3,3,3,Under Construction,1721,0,0,0,Low,Low Floor
flat, Piramal Mahalaxmi,1.35,3,3,3,Relatively New,1315,1,0,0,Medium,Mid Floor
flat, Amardeep Anutham,1.05,3,4,3+,Relatively New,1345,1,0,0,High,Mid Floor
flat, Ajmera Redwood Building,4.26,4,4,0,Old Property,3250,0,0,0,Low,Mid Floor
flat, Aristocrat Jai Savitri CHSL,0.41,2,2,2,New Property,670,0,0,1,Medium,High Floor
house, Apsara Heritage,3.65,6,6,2,Moderately Old,3450,1,1,2,High,Mid Floor
flat, Raymond Tenx Habitat Delhi,1.2,3,2,2,Relatively New,1701,0,0,0,High,Mid Floor
flat, Avanya,0.98,2,2,3,Relatively New,1281,0,0,1,High,Mid Floor
house, Ankurdev Danvijay CHSL,7.5,8,8,3+,Relatively New,3240,1,0,2,Low,Mid Floor
flat, Ashford Royale,1.65,3,4,3+,New Property,1923,1,0,0,Medium,High Floor
house, ANA Avant Garde Phase 1,5.5,3,6,2,Moderately Old,2592,1,0,1,Medium,Low Floor
flat, Arihant Anmol Phase II,1.38,3,3,1,Relatively New,1392,0,0,0,High,High Floor
house, Arihant Anmol Phase II,0.8,1,1,0,New Property,763,0,0,0,Low,Low Floor
flat," Ahuja Towers, Prabhadevi",0.9,2,2,2,New Property,998,0,0,0,Medium,Mid Floor
flat, Arkade Earth Wing Ebony,1.85,3,3,3,Moderately Old,2127,1,0,0,Low,Mid Floor
flat, A Surti Universal Cubical,0.75,2,2,1,Moderately Old,1239,0,0,0,Low,Mid Floor
flat, Anmol Apartment,1.3,3,3,0,New Property,1997,0,0,0,Low,High Floor
flat," Lodha Allura, Worli",0.54,2,1,3,New Property,828,0,0,0,Medium,Low Floor
flat, Arsiwala Essar Apex,0.55,2,2,3,New Property,610,0,0,0,Medium,Mid Floor
flat, Godrej Horizon Delhi,2,2,2,2,Relatively New,1433,0,0,0,Low,High Floor
flat, Anmol Apartment,1.32,3,5,3,New Property,1737,1,0,0,Medium,High Floor
flat, Adhiraj Zinnia,5.49,4,5,3+,Relatively New,3655.35,1,0,1,High,Mid Floor
flat," Ahuja Towers, Prabhadevi",1,2,2,3,New Property,1233,0,0,0,Medium,Mid Floor
flat, Arihant Residency,1,2,2,3,Relatively New,1700,0,0,0,Low,Mid Floor
flat," Ahuja Towers, Prabhadevi",0.9,2,2,2,New Property,998,0,0,0,Low,Low Floor
house, Apsara Heritage,3.8,2,8,3+,Relatively New,1458,0,1,1,Medium,Mid Floor
